form_id,lexeme,cell,source_form,orth_form,analysed_orth_form,phon_form,analysed_phon_form,variants_tag,analysis_tag,paradigm_tag,source,page,language_id
komlitan140,mu,1.pl.excl.3.pl.nfut.aff,kin-mu,kin-Σ,ki+n+Σ,k i n Σ,k i + n + Σ,unspecified,,,Kanshouwa2026LitanKom,nopage,komlitan
komlitan141,mu,1.pl.incl.3.pl.nfut.aff,nin-mu,nin-Σ,ni+n+Σ,n i n Σ,n i + n + Σ,unspecified,,,Kanshouwa2026LitanKom,nopage,komlitan
komlitan142,che,2.sg.nfut.aff,ni-che,ni-Σ,ni+Σ,n i Σ,n i + Σ,unspecified,,,Kanshouwa2026LitanKom,nopage,komlitan
komlitan143,che,2.pl.nfut.aff,nin-che,nin-Σ,ni+n+Σ,n i n Σ,n i + n + Σ,unspecified,,,Kanshouwa2026LitanKom,nopage,komlitan
komlitan144,mu,2.sg.1.sg.nfut.aff,ni-ni-mu,ni-ni-Σ,ni+ni+Σ,n i n i Σ,n i + n i + Σ,unspecified,,,Kanshouwa2026LitanKom,nopage,komlitan
komlitan145,mu,2.sg.1.pl.excl.nfut.aff,ni-ni-mu,ni-ni-Σ,ni+ni+Σ,n i n i Σ,n i + n i + Σ,unspecified,,,Kanshouwa2026LitanKom,nopage,komlitan
komlitan146,mu,2.pl.1.sg.nfut.aff,nin-ni-mu,nin-ni-Σ,ni+n+ni+Σ,n i n n i Σ,n i + n + n i + Σ,unspecified,,,Kanshouwa2026LitanKom,nopage,komlitan
komlitan147,mu,2.pl.1.pl.excl.nfut.aff,nin-ni-mu,nin-ni-Σ,ni+n+ni+Σ,n i n n i Σ,n i + n + n i + Σ,unspecified,,,Kanshouwa2026LitanKom,nopage,komlitan
komlitan148,mu,2.sg.3.sg.nfut.aff,ni-mu,ni-Σ,ni+Σ,n i Σ,n i + Σ,unspecified,,,Kanshouwa2026LitanKom,nopage,komlitan
komlitan149,mu,2.sg.3.pl.nfut.aff,ni-mu,ni-Σ,ni+Σ,n i Σ,n i + Σ,unspecified,,,Kanshouwa2026LitanKom,nopage,komlitan
komlitan150,mu,2.pl.3.sg.nfut.aff,nin-mu,nin-Σ,ni+n+Σ,n i n Σ,n i + n + Σ,unspecified,,,Kanshouwa2026LitanKom,nopage,komlitan
komlitan151,mu,2.pl.3.pl.nfut.aff,nin-mu,nin-Σ,ni+n+Σ,n i n Σ,n i + n + Σ,unspecified,,,Kanshouwa2026LitanKom,nopage,komlitan
komlitan152,che,3.sg.nfut.aff,a-che,a-Σ,a+Σ,a Σ,a + Σ,unspecified,,,Kanshouwa2026LitanKom,nopage,komlitan
komlitan153,che,3.pl.nfut.aff,an-che,an-Σ,a+n+Σ,a n Σ,a + n + Σ,unspecified,,,Kanshouwa2026LitanKom,nopage,komlitan
komlitan154,mu,3.sg.1.sg.nfut.aff,a-ni-mu,a-ni-Σ,a+ni+Σ,a n i Σ,a + n i + Σ,unspecified,,,Kanshouwa2026LitanKom,nopage,komlitan
komlitan155,mu,3.sg.1.pl.excl.nfut.aff,a-ni-mu,a-ni-Σ,a+ni+Σ,a n i Σ,a + n i + Σ,unspecified,,,Kanshouwa2026LitanKom,nopage,komlitan
komlitan156,mu,3.sg.1.pl.incl.nfut.aff,a-ni-mu,a-ni-Σ,a+ni+Σ,a n i Σ,a + n i + Σ,unspecified,,,Kanshouwa2026LitanKom,nopage,komlitan
komlitan157,mu,3.pl.1.sg.nfut.aff,an-ni-mu,an-ni-Σ,a+n+ni+Σ,a n n i Σ,a + n + n i + Σ,unspecified,,,Kanshouwa2026LitanKom,nopage,komlitan
komlitan158,mu,3.pl.1.pl.excl.nfut.aff,an-ni-mu,an-ni-Σ,a+n+ni+Σ,a n n i Σ,a + n + n i + Σ,unspecified,,,Kanshouwa2026LitanKom,nopage,komlitan
komlitan159,mu,3.pl.1.pl.incl.nfut.aff,an-ni-mu,an-ni-Σ,a+n+ni+Σ,a n n i Σ,a + n + n i + Σ,unspecified,,,Kanshouwa2026LitanKom,nopage,komlitan
komlitan160,mu,3.sg.2.sg.nfut.aff,a-ni-mu,a-ni-Σ,a+ni+Σ,a n i Σ,a + n i + Σ,unspecified,,,Kanshouwa2026LitanKom,nopage,komlitan
komlitan161,mu,3.sg.2.pl.nfut.aff,a-ni-mu,a-ni-Σ,a+ni+Σ,a n i Σ,a + n i + Σ,unspecified,,,Kanshouwa2026LitanKom,nopage,komlitan
komlitan162,mu,3.pl.2.sg.nfut.aff,an-ni-mu,an-ni-Σ,a+n+ni+Σ,a n n i Σ,a + n + n i + Σ,unspecified,,,Kanshouwa2026LitanKom,nopage,komlitan
komlitan163,mu,3.pl.2.pl.nfut.aff,an-ni-mu,an-ni-Σ,a+n+ni+Σ,a n n i Σ,a + n + n i + Σ,unspecified,,,Kanshouwa2026LitanKom,nopage,komlitan
komlitan164,mu,3.sg.3.sg.nfut.aff,a-mu,a-Σ,a+Σ,a Σ,a + Σ,unspecified,,,Kanshouwa2026LitanKom,nopage,komlitan
komlitan165,mu,3.sg.3.pl.nfut.aff,a-mu,a-Σ,a+Σ,a Σ,a + Σ,unspecified,,,Kanshouwa2026LitanKom,nopage,komlitan
komlitan166,mu,3.pl.3.sg.nfut.aff,an-mu,an-Σ,a+n+Σ,a n Σ,a + n + Σ,unspecified,,,Kanshouwa2026LitanKom,nopage,komlitan
komlitan167,mu,3.pl.3.pl.nfut.aff,an-mu,an-Σ,a+n+Σ,a n Σ,a + n + Σ,unspecified,,,Kanshouwa2026LitanKom,nopage,komlitan
komlitan168,che,1.sg.nfut.neg,che-mak-eng,Σ-mak-eng,Σ+mak+eng,Σ m a k e ŋ,Σ + m a k + e ŋ,unspecified,,,Kanshouwa2026LitanKom,nopage,komlitan
komlitan169,che,1.pl.excl.nfut.neg,che-mak-sing,Σ-mak-sing,Σ+mak+si+ng,Σ m a k s i ŋ,Σ + m a k + s i + ŋ,unspecified,,,Kanshouwa2026LitanKom,nopage,komlitan
komlitan170,che,1.pl.incl.nfut.neg,che-mak-sing,Σ-mak-sing,Σ+mak+si+ng,Σ m a k s i ŋ,Σ + m a k + s i + ŋ,unspecified,,,Kanshouwa2026LitanKom,nopage,komlitan
